Name, Discount Price, Original Price, Discount Rate, Link
Nike Air Max 270 SE, 127.97, 160, 20.018749999999997, https://www.nike.com/t/air-max-270-se-mens-shoe-L70ZjH/AQ9164-100
Nike Air Max 270 SE, 127.97, 160, 20.018749999999997, https://www.nike.com/t/air-max-270-se-mens-shoe-L70ZjH
Nike Zoom Pegasus Turbo, 125.97, 180, 30.01666666666667, https://www.nike.com/t/zoom-pegasus-turbo-mens-running-shoe-qCL9h1/AJ4114-004
Nike Zoom Pegasus Turbo, 134.97, 180, 25.016666666666666, https://www.nike.com/t/zoom-pegasus-turbo-mens-running-shoe-qCL9h1
Nike Zoom Pegasus Turbo, 149.97, 180, 16.683333333333337, https://www.nike.com/t/zoom-pegasus-turbo-mens-running-shoe-qCL9h1/AJ4114-486
Nike Air Max 270 Bowfin, 127.97, 160, 20.018749999999997, https://www.nike.com/t/air-max-270-bowfin-mens-shoe-0x4rcw
Nike Air Max 270 Bowfin, 127.97, 160, 20.018749999999997, https://www.nike.com/t/air-max-270-bowfin-mens-shoe-0x4rcw/AJ7200-300
Nike Air Max 270 Bowfin, 127.97, 160, 20.018749999999997, https://www.nike.com/t/air-max-270-bowfin-mens-shoe-0x4rcw/AJ7200-201
Nike Air Max 270 Bowfin, 127.97, 160, 20.018749999999997, https://www.nike.com/t/air-max-270-bowfin-mens-shoe-0x4rcw/AJ7200-200
Nike Air Max 270 Bowfin, 111.97, 160, 30.018750000000004, https://www.nike.com/t/air-max-270-bowfin-mens-shoe-0x4rcw/AJ7200-004
Nike Therma Sphere Element, 64.97, 85, 23.564705882352943, https://www.nike.com/t/therma-sphere-element-mens-1-2-zip-running-top-cdwZmH/928557-427
Nike Therma Sphere Element, 64.97, 85, 23.564705882352943, https://www.nike.com/t/therma-sphere-element-mens-1-2-zip-running-top-cdwZmH/928557-010
Nike Therma Sphere Element, 49.97, 85, 41.21176470588236, https://www.nike.com/t/therma-sphere-element-mens-1-2-zip-running-top-cdwZmH/928557-250
Nike Therma Sphere Element, 49.97, 85, 41.21176470588236, https://www.nike.com/t/therma-sphere-element-mens-1-2-zip-running-top-cdwZmH/928557-011
Nike Therma Sphere Tech Pack, 94.97, 120, 20.858333333333334, https://www.nike.com/t/therma-sphere-tech-pack-mens-running-pants-rZg4Cw/AR9825-010
Nike Therma Sphere Tech Pack, 94.97, 120, 20.858333333333334, https://www.nike.com/t/therma-sphere-tech-pack-mens-running-pants-rZg4Cw
Nike Flex, 44.97, 50, 10.060000000000002, https://www.nike.com/t/flex-mens-8-training-shorts-X9A4B0/886371-471
Nike Flex, 39.97, 50, 20.06, https://www.nike.com/t/flex-mens-8-training-shorts-X9A4B0/886371-430
Nike Flex, 24.97, 50, 50.06, https://www.nike.com/t/flex-mens-8-training-shorts-X9A4B0/886371-431
Nike Element, 39.97, 55, 27.327272727272735, https://www.nike.com/t/element-mens-sleeveless-running-top-1g1d9P/AJ7586-451
Nike Element, 39.97, 55, 27.327272727272735, https://www.nike.com/t/element-mens-sleeveless-running-top-1g1d9P
Nike Element, 39.97, 55, 27.327272727272735, https://www.nike.com/t/element-mens-sleeveless-running-top-1g1d9P/AJ7586-891
Nike Spotlight, 45.97, 55, 16.41818181818182, https://www.nike.com/t/spotlight-mens-basketball-pants-5sTMQR/925632-050
Nike Spotlight, 45.97, 55, 16.41818181818182, https://www.nike.com/t/spotlight-mens-basketball-pants-5sTMQR/925632-010
Nike Air Max 97, 135.97, 160, 15.018750000000002, https://www.nike.com/t/air-max-97-mens-shoe-qVNhGW/921826-201
Nike Air Max 97, 135.97, 160, 15.018750000000002, https://www.nike.com/t/air-max-97-mens-shoe-qVNhGW/921826-013
